DAUID,POP2021,POPDENS,TOTLOWINC
2466,2004265,4022.3,321885
24660001,651,2113,35
24660002,542,5079.7,30
24660003,303,5058.4,10
24660004,273,3317.1,10
24660005,231,3678.3,
24660006,417,5494.1,30
24660007,685,3377.7,70
24660008,491,4262.2,35
24660009,236,4729.5,
24660010,709,3553.9,105
24660011,847,4578.4,190
24660012,1065,2290.8,115
24660013,533,6015.8,45
24660014,527,4655.5,25
24660015,484,17925.9,120
24660016,688,7585.4,35
24660017,515,4478.3,105
24660020,455,2363.6,15
24660021,586,11696.6,125
24660022,342,3018.5,15
24660023,541,7773,90
24660024,625,6627.8,50
24660025,589,7235.9,60
24660026,754,3421.1,
24660027,591,4900.5,40
24660028,356,5788.6,20
24660029,402,8254.6,5
24660030,1043,3435.4,120
24660031,520,7103.8,25
24660032,486,5237.1,15
24660033,905,4431.9,40
24660034,355,4551.3,0
24660035,438,4669.5,10
24660036,788,7833,140
24660037,630,5898.9,100
24660038,568,9827,100
24660039,494,11569.1,85
24660040,480,4320.4,30
24660041,602,4195.1,145
24660042,574,9039.4,130
24660043,428,10000,95
24660044,377,2520.1,25
24660045,459,2282.4,35
24660046,426,3685.1,45
24660047,391,2617.1,50
24660048,473,5532.2,90
24660049,514,5834.3,110
24660050,586,10596.7,95
24660051,390,4396.8,45
24660052,531,6905.1,90
24660053,442,6852.7,75
24660054,498,4506.8,95
24660055,601,9631.4,120
24660056,583,5726.9,55
24660057,955,371.3,150
24660058,418,552.5,85
24660059,554,5187.3,195
24660060,566,4128.4,55
24660061,603,9966.9,95
24660062,495,8871,95
24660063,695,12214.4,150
24660064,670,9940.7,110
24660065,590,14567.9,125
24660066,518,7194.4,60
24660067,541,7400.8,75
24660068,508,8595.6,60
24660069,636,11865.7,135
24660070,486,11571.4,90
24660071,540,10444.9,45
24660072,594,11692.9,115
24660073,460,4063.6,65
24660074,449,8361.3,55
24660075,469,6303.8,55
24660076,493,6353.1,65
24660077,459,6071.4,55
24660078,530,6883.1,45
24660079,474,3257.7,45
24660080,636,9799.7,60
24660081,700,7462.7,75
24660082,676,8546.1,105
24660083,471,7836.9,65
24660084,467,9229.2,45
24660085,590,9485.5,105
24660086,384,11228.1,80
24660087,828,21732.3,175
24660088,470,20000,70
24660089,390,8744.4,30
24660090,1068,16355.3,205
24660091,606,11348.3,90
24660092,375,1388.4,90
24660093,612,7472.5,65
24660094,577,6319.8,60
24660095,536,3207.7,85
24660096,541,7090.4,55
24660097,515,8187.6,70
24660098,490,4195.2,55
24660099,727,8865.9,185
24660100,479,24070.4,135
24660101,464,3574.7,45
24660102,512,3097.4,55
24660103,391,4227,45
24660104,640,1116.1,85
24660107,512,15103.2,150
24660108,747,12879.3,235
24660109,614,19554.1,195
24660110,647,21423.8,125
24660111,358,17211.5,70
24660112,422,17016.1,35
24660114,654,24494.4,135
24660115,412,15488.7,60
24660117,539,4560.1,90
24660118,580,9446.3,85
24660119,268,4735,25
24660120,530,6184.4,70
24660121,474,8130.4,55
24660122,450,11873.4,75
24660123,492,4013.1,50
24660124,582,11710.3,40
24660125,656,13497.9,170
24660126,489,4001.6,60
24660127,448,6309.9,130
24660128,476,11959.8,75
24660129,514,10708.3,50
24660130,560,9061.5,75
24660131,593,12670.9,70
24660132,541,12669.8,65
24660133,622,11984.6,70
24660134,553,2846.1,75
24660135,492,10357.9,70
24660136,287,12265,45
24660137,504,12989.7,55
24660138,1806,22860.8,210
24660139,385,6766.3,35
24660140,691,12540.8,105
24660141,520,1969.7,55
24660142,488,3929.1,45
24660143,367,9657.9,25
24660144,1355,15038.8,215
24660145,471,12695.4,25
24660146,556,7606,75
24660147,629,18945.8,190
24660148,587,1508.2,85
24660149,1132,5322,80
24660150,556,3741.6,80
24660151,427,4797.8,30
24660152,886,3383,20
24660153,432,9350.6,120
24660154,491,6254.8,60
24660155,623,9029,85
24660156,840,12121.2,310
24660157,613,2876.6,55
24660158,558,9300,70
24660159,635,16116.8,70
24660160,399,6551.7,15
24660161,360,7453.4,35
24660162,471,8920.5,45
24660163,1120,9180.3,175
24660164,615,8810.9,100
24660165,1000,9970.1,75
24660166,572,4914.1,50
24660167,783,16177.7,220
24660168,401,4495.5,0
24660169,533,3218.6,35
24660170,475,6747.2,35
24660171,640,10289.4,55
24660172,447,13669.7,125
24660173,483,13305.8,50
24660174,676,10513.2,50
24660175,600,7434.9,60
24660176,779,3008.9,75
24660177,380,3052.2,15
24660178,502,3201.5,20
24660179,463,3727.9,35
24660180,584,4657.1,40
24660181,937,12611,315
24660182,696,22524.3,140
24660183,525,7930.5,80
24660184,396,7967.8,65
24660185,334,11283.8,30
24660186,845,13520,90
24660187,537,9055.6,55
24660188,640,14096.9,80
24660189,544,23755.5,95
24660190,754,11072,90
24660191,497,19490.2,100
24660192,611,16380.7,110
24660193,426,13107.7,105
24660194,360,6896.6,55
24660195,614,6666.7,45
24660196,452,7385.6,75
24660197,568,8316.3,45
24660198,572,5381,25
24660199,462,2359.6,10
24660200,477,6794.9,50
24660201,536,14765.8,65
24660202,497,15198.8,80
24660203,1303,1497.5,180
24660204,479,13087.4,60
24660205,1753,18829.2,175
24660206,474,16232.9,130
24660207,370,3324.3,60
24660208,342,10490.8,35
24660209,366,870.2,40
24660210,706,13025.8,105
24660211,836,13165.4,135
24660212,552,17196.3,80
24660213,587,10500.9,115
24660214,512,16786.9,130
24660215,553,2977.9,65
24660216,434,13353.8,65
24660217,538,18680.6,120
24660218,604,6741.1,65
24660219,750,13369,80
24660220,982,15661.9,270
24660221,385,11063.2,65
24660222,565,8284.5,90
24660223,626,13376.1,110
24660224,441,8197,70
24660225,626,10774.5,125
24660226,575,10177,50
24660227,708,10711,90
24660228,498,10663.8,65
24660229,635,10444.1,80
24660230,512,9464,90
